SLAPP-SRLS17-1A-1V-1,0.96
SLAPP-SRLS17-1A-2V-1,1.465
SLAPP-SRLS17-1A-3V-1,1.5
SLAPP-SRLS17-1A-3V-2,0.08
SLAPP-SRLS17-1A-4V-1,1.498
SLAPP-SRLS17-1A-5V-1,0.916
SLAPP-SRLS17-1A-6V-1,0.831
SLAPP-SRLS17-1A-7V-1,1.531
SLAPP-SRLS17-1A-8V-1,1.016
SLAPP-SRLS17-1A-8V-2,0.195
SLAPP-SRLS17-1A-9V-1,1.533
SLAPP-SRLS17-1A-10V-1,1.54
SLAPP-SRLS17-1A-11V-1,0.863
SLAPP-SRLS17-1A-12V-1,1.171
SLAPP-SRLS17-1A-13V-1,1.533
SLAPP-SRLS17-1A-14V-1,1.54
SLAPP-SRLS17-1A-15V-1,1.45
SLAPP-SRLS17-1A-16V-1,0.084
SLAPP-SRLS17-1A-16V-2,1.543
SLAPP-SRLS17-1A-17V-1,1.535
SLAPP-SRLS17-1A-18V-1,1.459
SLAPP-SRLS17-1A-18V-2,0.2
SLAPP-SRLS17-1A-19V-1,1.105
SLAPP-SRLS17-1A-19V-2,0.45
SLAPP-SRLS17-1A-20V-1,1.256
SLAPP-SRLS17-1A-20V-2,0.267
SLAPP-SRLS17-1A-21V-1,1.509
SLAPP-SRLS17-1A-22V-1,1.549
SLAPP-SRLS17-1A-23V-1,1.01
SLAPP-SRLS17-1A-24V-1,1.54
SLAPP-SRLS17-1A-25V-1,0.1
SLAPP-SRLS17-1A-25V-2,1.532
SLAPP-SRLS17-1A-26V-1,1.44
SLAPP-SRLS17-1A-26V-2,0.096
SLAPP-SRLS17-1A-27V-1,1.549
SLAPP-SRLS17-1A-28V-1,1.471
SLAPP-SRLS17-1A-28V-2,0.185
SLAPP-SRLS17-1A-29V-1,1.553
SLAPP-SRLS17-1A-30V-1,1.553
SLAPP-SRLS17-1A-31V-1,1.544
SLAPP-SRLS17-1A-32V-1,1.55
SLAPP-SRLS17-1A-33V-1,1.55
SLAPP-SRLS17-1A-34V-1,1.504
SLAPP-SRLS17-1A-34V-2,0.13
SLAPP-SRLS17-1A-35V-1,1.545
SLAPP-SRLS17-1A-36V-1,1.505
SLAPP-SRLS17-1A-37V-1,1.513
SLAPP-SRLS17-1A-37V-2,0.077
SLAPP-SRLS17-1A-38V-1,1.503
SLAPP-SRLS17-1A-38V-2,0.182
SLAPP-SRLS17-1A-39V-1,1.54
SLAPP-SRLS17-1A-39V-2,0.082
SLAPP-SRLS17-1A-40V-1,1.54
SLAPP-SRLS17-1A-40V-2,0.114
SLAPP-SRLS17-1A-41V-1,1.55
SLAPP-SRLS17-1A-41V-2,0.12
SLAPP-SRLS17-1A-42V-1,1.534
SLAPP-SRLS17-1A-42V-2,0.11
SLAPP-SRLS17-1A-43V-1,1.55
SLAPP-SRLS17-1A-43V-2,0.102
SLAPP-SRLS17-1A-44V-1,1.532
SLAPP-SRLS17-1A-45V-1,1.452
SLAPP-SRLS17-1A-45V-2,0.191
SLAPP-SRLS17-1A-46V-1,1.549
SLAPP-SRLS17-1A-46V-2,0.11
SLAPP-SRLS17-1A-47V-1,1.541
SLAPP-SRLS17-1A-47V-2,0.123
SLAPP-SRLS17-1A-48V-1,1.46
SLAPP-SRLS17-1A-48V-2,0.109
SLAPP-SRLS17-1B-1V-1,0.61
SLAPP-SRLS17-1B-2V-1,0.27
SLAPP-SRLS17-1B-2V-2,0.59
SLAPP-SRLS17-1B-2V-3,0.54
SLAPP-SRLS17-1B-2V-4,0.47
SLAPP-SRLS17-1B-2V-5,0.57
SLAPP-SRLS17-1B-3V-1,0.37
SLAPP-SRLS17-1B-3V-2,0.5
SLAPP-SRLS17-1B-3V-3,0.67
SLAPP-SRLS17-1B-3V-4,0.47
SLAPP-SRLS17-1B-3V-5,0.47
SLAPP-SRLS17-1B-4V-1,0.62
SLAPP-SRLS17-1B-4V-2,0.59
SLAPP-SRLS17-1B-4V-3,0.54
SLAPP-SRLS17-1B-4V-4,0.45
SLAPP-SRLS17-1B-4V-5,0.43
SLAPP-SRLS17-1B-5V-1,0.57
SLAPP-SRLS17-1B-5V-2,0.53
SLAPP-SRLS17-1B-5V-3,0.49
SLAPP-SRLS17-1B-5V-4,0.47
SLAPP-SRLS17-1B-6V-1,0.45
SLAPP-SRLS17-1B-6V-2,0.52
SLAPP-SRLS17-1B-6V-3,0.52
SLAPP-SRLS17-1B-6V-4,0.52
SLAPP-SRLS17-1B-6V-5,0.53
SLAPP-SRLS17-1B-7V-1,1.535
SLAPP-SRLS17-1B-8V-1,1.5
SLAPP-SRLS17-1B-8V-2,0.178
SLAPP-SRLS17-1B-9V-1,1.54
SLAPP-SRLS17-1B-9V-2,0.121
SLAPP-SRLS17-1B-10V-1,1.21
SLAPP-SRLS17-1B-11V-1,0.632
SLAPP-SRLS17-1B-12V-1,1.5
SLAPP-SRLS17-1B-13V-1,1.533
SLAPP-SRLS17-1B-14V-1,0.93
SLAPP-SRLS17-1B-14V-2,0.347
SLAPP-SRLS17-1B-15V-1,1.04
SLAPP-SRLS17-1B-16V-1,1.489
SLAPP-SRLS17-1B-16V-2,0.146
SLAPP-SRLS17-1B-17V-1,1.488
SLAPP-SRLS17-1B-17V-2,0.206
SLAPP-SRLS17-1B-18V-1,1.543
SLAPP-SRLS17-1B-18V-2,0.105
